chinese_name,english_name,chinese_category,english_category,description,price_usd,serving
奶皇包,Custard Bun,包子,Bun,"A soft steamed bun filled with creamy sweet egg custard, popular as a dessert dim sum.",2.75,3 pcs
鮮肉包,Fresh Pork Bun,包子,Bun,"A fluffy steamed bun stuffed with seasoned minced pork, served hot.",5.25,3 pcs
叉燒包,BBQ Pork Bun,包子,Bun,A classic dim sum bun with sweet and savory barbecued pork filling.,4.75,3 pcs
麻蓉包,Sesame Paste Bun,包子,Bun,"Steamed bun filled with rich, nutty sesame paste, slightly sweet.",3.5,3 pcs
菜肉包,Vegetable & Pork Bun,包子,Bun,Soft bun filled with minced pork and chopped vegetables.,6.5,3 pcs
大包,Big Bun,包子,Bun,An oversized steamed bun filled generously with meat and vegetables.,4.75,3 pcs
豆沙包,Red Bean Paste Bun,包子,Bun,Sweet steamed bun filled with smooth red bean paste.,4.5,3 pcs
蓮蓉包,Lotus Seed Paste Bun,包子,Bun,"Soft bun filled with sweet lotus seed paste, often served as dessert.",5,3 pcs
壽包,Longevity Peach Bun,包子,Bun,"Peach-shaped steamed bun with sweet lotus paste, served at birthdays.",6.5,3 pcs
小籠包,Soup Dumpling,餃子/燒賣,Dumpling,A delicate dumpling with pork filling and savory broth inside.,5.5,3 pcs
蟹粉小籠包,Crab Roe Soup Dumpling,餃子/燒賣,Dumpling,Soup dumpling enriched with crab roe and pork for a richer flavor.,3.5,3 pcs
生煎菜肉包,Pan-Fried Pork & Veg Bun,包子,Bun,"Pan-fried bun with juicy pork and vegetable filling, crisp bottom.",4.5,3 pcs
豆沙水晶包,Crystal Skin Red Bean Bun,包子,Bun,A translucent-skinned bun with sweet red bean paste inside.,4.75,3 pcs
蓮蓉水晶包,Crystal Skin Lotus Paste Bun,包子,Bun,A translucent bun with sweet lotus seed paste filling.,4.25,3 pcs
乾蒸燒賣,Steamed Pork Siu Mai,餃子/燒賣,Dumpling,Open-top dumpling with minced pork and shrimp steamed until juicy.,7.25,3 pcs
牛肉燒賣,Beef Siu Mai,餃子/燒賣,Dumpling,Open-top dumpling with seasoned ground beef filling.,8,3 pcs
三星燒賣,Three Delicacy Siu Mai,餃子/燒賣,Dumpling,"A siu mai combining three different ingredients like pork, shrimp, and mushroom.",7.5,3 pcs
魚肉燒賣,Fish Siu Mai,餃子/燒賣,Dumpling,Siu mai dumpling filled with minced fish instead of pork.,5.25,3 pcs
黃沙豬潤燒賣,Pork Liver Siu Mai,餃子/燒賣,Dumpling,"Siu mai with pork liver pieces adding a rich, earthy flavor.",4.25,3 pcs
鵪鶉蛋燒賣,Quail Egg Siu Mai,餃子/燒賣,Dumpling,Siu mai topped with or filled around a quail egg for extra texture.,4.75,3 pcs
奶皇包,Custard Bun,包子,Bun,"A soft steamed bun filled with creamy sweet egg custard, popular as a dessert dim sum.",2.75,3 pcs
鮮肉包,Fresh Pork Bun,包子,Bun,"A fluffy steamed bun stuffed with seasoned minced pork, served hot.",5.25,3 pcs
叉燒包,BBQ Pork Bun,包子,Bun,A classic dim sum bun with sweet and savory barbecued pork filling.,4.75,3 pcs
麻蓉包,Sesame Paste Bun,包子,Bun,"Steamed bun filled with rich, nutty sesame paste, slightly sweet.",3.5,3 pcs
菜肉包,Vegetable & Pork Bun,包子,Bun,Soft bun filled with minced pork and chopped vegetables.,6.5,3 pcs
大包,Big Bun,包子,Bun,An oversized steamed bun filled generously with meat and vegetables.,4.75,3 pcs
豆沙包,Red Bean Paste Bun,包子,Bun,Sweet steamed bun filled with smooth red bean paste.,4.5,3 pcs
蓮蓉包,Lotus Seed Paste Bun,包子,Bun,"Soft bun filled with sweet lotus seed paste, often served as dessert.",5,3 pcs
壽包,Longevity Peach Bun,包子,Bun,"Peach-shaped steamed bun with sweet lotus paste, served at birthdays.",6.5,3 pcs
小籠包,Soup Dumpling,餃子/燒賣,Dumpling,A delicate dumpling with pork filling and savory broth inside.,5.5,3 pcs
蟹粉小籠包,Crab Roe Soup Dumpling,餃子/燒賣,Dumpling,Soup dumpling enriched with crab roe and pork for a richer flavor.,3.5,3 pcs
生煎菜肉包,Pan-Fried Pork & Veg Bun,包子,Bun,"Pan-fried bun with juicy pork and vegetable filling, crisp bottom.",4.5,3 pcs
豆沙水晶包,Crystal Skin Red Bean Bun,包子,Bun,A translucent-skinned bun with sweet red bean paste inside.,4.75,3 pcs
蓮蓉水晶包,Crystal Skin Lotus Paste Bun,包子,Bun,A translucent bun with sweet lotus seed paste filling.,4.25,3 pcs
乾蒸燒賣,Steamed Pork Siu Mai,餃子/燒賣,Dumpling,Open-top dumpling with minced pork and shrimp steamed until juicy.,7.25,3 pcs
牛肉燒賣,Beef Siu Mai,餃子/燒賣,Dumpling,Open-top dumpling with seasoned ground beef filling.,8,3 pcs
三星燒賣,Three Delicacy Siu Mai,餃子/燒賣,Dumpling,"A siu mai combining three different ingredients like pork, shrimp, and mushroom.",7.5,3 pcs
魚肉燒賣,Fish Siu Mai,餃子/燒賣,Dumpling,Siu mai dumpling filled with minced fish instead of pork.,5.25,3 pcs
黃沙豬潤燒賣,Pork Liver Siu Mai,餃子/燒賣,Dumpling,"Siu mai with pork liver pieces adding a rich, earthy flavor.",4.25,3 pcs
鵪鶉蛋燒賣,Quail Egg Siu Mai,餃子/燒賣,Dumpling,Siu mai topped with or filled around a quail egg for extra texture.,4.75,3 pcs
豉汁蒸排骨,Steamed Pork Ribs in Black Bean Sauce,湯品,Soup,Juicy pork riblets steamed with fermented black beans.,3.75,dish
梅子蒸排骨,Steamed Pork Ribs with Plum Sauce,湯品,Soup,Pork ribs steamed with tangy plum sauce for a sweet-sour note.,6,dish
豉汁蒸鳳爪,Steamed Chicken Feet in Black Bean Sauce,湯品,Soup,Braised chicken feet with savory black bean sauce.,4.75,dish
鮑汁鳳爪,Chicken Feet in Abalone Sauce,湯品,Soup,Tender chicken feet coated in rich abalone-flavored sauce.,6.75,dish
豉汁蒸魚雲,Steamed Fish Head in Black Bean Sauce,湯品,Soup,Fish head pieces steamed with fermented black beans.,7.75,dish
灌湯餃,Soup Dumpling in Broth,湯品,Soup,Large dumpling served in a bowl of rich soup.,3.75,3 pcs
蒸素粉果,Steamed Vegetarian Dumpling,餃子/燒賣,Dumpling,Vegetable-filled dumpling with translucent wrapper.,6.75,3 pcs
薑蔥牛柏葉,Beef Tripe with Ginger & Scallion,湯品,Soup,Steamed beef tripe flavored with ginger and scallions.,4.25,dish
柱侯金錢肚,Beef Tripe in Chu Hou Sauce,湯品,Soup,Braised honeycomb tripe with Cantonese Chu Hou sauce.,6.25,dish
蒜茸蒸魷魚,Steamed Squid with Garlic,湯品,Soup,Tender squid steamed with minced garlic.,6,dish
雞絲粉卷,Chicken Rice Noodle Roll,腸粉,Rice Noodle Roll,Rice noodle roll filled with shredded chicken.,4,3 pcs
鮮竹卷,Tofu Skin Roll,其他,Other,"Filling wrapped in sheets of bean curd skin, steamed or fried.",6.25,3 pcs
鴨腳扎,Duck Web & Meat Roll,其他,Other,Duck feet and minced meat wrapped in bean curd skin.,5.75,3 pcs
淮山雞扎,Chicken & Chinese Yam Roll,其他,Other,Chicken and Chinese yam wrapped and steamed.,6.5,3 pcs
四寶雞扎,Four Treasure Chicken Roll,其他,Other,Bean curd skin roll with chicken and assorted ingredients.,6.25,3 pcs
蝦餃,Shrimp Dumpling (Har Gow),餃子/燒賣,Dumpling,"Translucent shrimp dumpling, a dim sum classic.",4.5,3 pcs
山竹牛肉,Beef Ball,其他,Other,Steamed beef meatball often served with bean curd sheet.,5,dish
棉花雞,Cotton Chicken,其他,Other,"Chicken and mushroom mixture wrapped in tofu skin, very tender.",4.25,dish
咖哩魷魚,Curry Squid,其他,Other,Squid pieces cooked in mild curry sauce.,6.25,dish
年糕,New Year Cake,糕點,Cake,"Sweet, sticky rice cake eaten especially at Lunar New Year.",6.75,piece
蘿蔔糕,Turnip Cake,糕點,Cake,"Savory steamed cake made from shredded radish and rice flour, then pan-fried.",6.25,piece
芋頭糕,Taro Cake,糕點,Cake,Savory steamed taro and rice flour cake with bits of meat or mushrooms.,7,piece
珍珠雞,Pearl Chicken,其他,Other,"Sticky rice with chicken and mushrooms, steamed in a lotus leaf.",7.5,dish
糯米雞,Sticky Rice with Chicken,其他,Other,Lotus leaf-wrapped sticky rice with chicken and sausage.,6.5,dish
蒜蓉炒鮮魷,Stir-Fried Squid with Garlic,其他,Other,Squid stir-fried with garlic for a quick savory dish.,6.5,dish
芋角,Taro Dumpling,餃子/燒賣,Dumpling,Deep-fried dumpling with taro crust and savory pork filling.,4.75,3 pcs
春卷,Spring Roll,酥餅,Pastry,Crispy fried roll with vegetable or meat filling.,4.5,3 pcs
鹹水角,Fried Glutinous Dumpling,酥餅,Pastry,Crispy glutinous rice dumpling filled with minced pork.,3.5,3 pcs
餛飩,Wonton,餃子/燒賣,Dumpling,"Small dumpling filled with pork and shrimp, served in soup or fried.",7.25,dish
腐皮卷,Bean Curd Roll,酥餅,Pastry,Filling wrapped in bean curd skin and fried or steamed.,6.25,3 pcs
紅豆沙,Red Bean Sweet Soup,甜品,Dessert,Warm sweet soup made from red beans.,7.25,bowl
綠豆沙,Mung Bean Sweet Soup,甜品,Dessert,Smooth sweet soup made from mung beans.,2.5,bowl
番薯糖水,Sweet Potato Sweet Soup,甜品,Dessert,Sweet ginger syrup with chunks of sweet potato.,4.75,bowl
喳咋,Cha Cha Dessert Soup,甜品,Dessert,"Coconut-based sweet soup with taro, beans, and tapioca.",3.75,bowl
紅棗糕,Red Date Cake,糕點,Cake,Soft steamed cake flavored with Chinese red dates.,3.5,piece
豆腐花,Tofu Pudding,甜品,Dessert,Silky soft tofu served with sweet syrup.,7.75,piece
芝麻卷,Sesame Roll,甜品,Dessert,Sweet chewy roll dusted with toasted sesame.,4.75,3 pcs
芒果布甸,Mango Pudding,甜品,Dessert,Chilled mango-flavored pudding dessert.,5.5,piece
小蛋撻,Mini Egg Tart,酥餅,Pastry,Small flaky pastry shell filled with egg custard.,4,piece
芝麻糊,Black Sesame Dessert Soup,甜品,Dessert,Warm sweet soup made with ground black sesame.,4.25,bowl
楊枝甘露,Mango Pomelo Sago,甜品,Dessert,Chilled mango dessert with pomelo and tapioca pearls.,3.75,dish
